  stations      lat      lon Time                     CS   foF2 QD  foF1 QD  MUFD QD  fmin QD  foEs QD fminF QD fminE QD   foE QD   fxI QD    FF QD    FE QD foF2p QD minEs QD  foEa QD   foP QD  fbEs QD     hF QD    hF2 QD     hE QD    hEs QD    hmE QD     yE QD     QF QD     QE QD   hmF2 QD   hmF1 QD halfNm QD    yF2 QD    yF1 QD caleF2 QD    B0 QD    hEa QD     hP QD   TEC QD   MD QD   B1 QD   D1 QD peEs QD
     AL945   45.07N  276.44E 2019-01-29T00:00:00.000Z 100  2.325 //   --- __  7.86 //  1.83 //   --- __  1.83 //   --- __   --- __  3.13 //  0.08 //   --- __  3.03 //   --- __   --- __   --- __   --- __  269.0 //  269.0 //    --- __    --- __    --- __    --- __    --- __    --- __  262.9 //    --- __  235.3 //   39.1 //    --- __   21.0 //  38.5 //    --- __    --- __   0.6 // 3.38 // 2.32 //  --- __  --- __
     AL945   45.07N  276.44E 2019-01-29T00:15:00.000Z 100  2.150 //   --- __  7.05 //  1.67 //   --- __  1.67 //   --- __   --- __  3.00 //  0.15 //   --- __  2.85 //   --- __   --- __   --- __   --- __  262.5 //  262.5 //    --- __    --- __    --- __    --- __    --- __    --- __  278.3 //    --- __  244.1 //   49.0 //    --- __   26.8 //  44.3 //    --- __    --- __   0.7 // 3.28 // 3.15 //  --- __  --- __
     AL945   45.07N  276.44E 2019-01-29T00:30:00.000Z  50  2.025 //   --- __  6.80 //  1.73 //   --- __  1.73 //   --- __   --- __  3.35 //  0.68 //   --- __  2.68 //   --- __   --- __   --- __   --- __  299.0 //  299.0 //    --- __    --- __    --- __    --- __    --- __    --- __  267.7 //    --- __  240.3 //   38.5 //    --- __   20.5 //  40.1 //    --- __    --- __   0.5 // 3.36 // 1.94 //  --- __  --- __
     AL945   45.07N  276.44E 2019-01-29T00:45:00.000Z 100  2.050 //   --- __  6.57 //  1.65 //   --- __  1.65 //   --- __   --- __  2.85 //  0.10 //   --- __  2.52 //   --- __   --- __   --- __   --- __  274.0 //  274.0 //    --- __    --- __    --- __    --- __    --- __    --- __  286.3 //    --- __  247.5 //   56.0 //    --- __   31.1 //  44.7 //    --- __    --- __   0.7 // 3.20 // 4.53 //  --- __  --- __
     AL945   45.07N  276.44E 2019-01-29T01:00:00.000Z 100  2.050 //   --- __  6.74 //  1.65 //   --- __  1.65 //   --- __   --- __  2.88 //  0.05 //   --- __  2.36 //   --- __   --- __   --- __   --- __  274.0 //  274.0 //    --- __    --- __    --- __    --- __    --- __    --- __  272.3 //    --- __  242.5 //   42.4 //    --- __   23.0 //  40.0 //    --- __    --- __   0.5 // 3.29 // 2.69 //  --- __  --- __
     AL945   45.07N  276.44E 2019-01-29T01:15:00.000Z 100  2.000 //   --- __  6.97 //  1.75 //   --- __  1.75 //   --- __   --- __  2.85 //  0.05 //   --- __  2.22 //   --- __   --- __   --- __   --- __  275.0 //  275.0 //    --- __    --- __    --- __    --- __    --- __    --- __  258.5 //    --- __  236.8 //   30.7 //    --- __   16.6 //  31.0 //    --- __    --- __   0.4 // 3.49 // 2.19 //  --- __  --- __
     AL945   45.07N  276.44E 2019-01-29T01:30:00.000Z  50  1.925 //   --- __  6.67 //  1.65 //  2.15 //  1.65 //   --- __   --- __  2.80 //  0.03 //   --- __  2.09 //  1.70 //   --- __   --- __   --- __  261.0 //  261.0 //    --- __  105.0 //    --- __    --- __    --- __    --- __  254.6 //    --- __  234.9 //   27.8 //    --- __   15.0 //  27.7 //    --- __    --- __   0.3 // 3.46 // 2.27 //  --- __  --- __
     AL945   45.07N  276.44E 2019-01-29T01:45:00.000Z  75    --- __   --- __   --- __  2.05 //  3.08 //   --- __   --- __   --- __   --- __   --- __   --- __  1.97 //  2.05 //   --- __   --- __   --- __    --- __    --- __    --- __  100.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AL945   45.07N  276.44E 2019-01-29T02:00:00.000Z  75    --- __   --- __   --- __  1.73 //  4.57 //   --- __   --- __   --- __   --- __   --- __   --- __  1.86 //  1.73 //   --- __   --- __   --- __    --- __    --- __    --- __  100.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AL945   45.07N  276.44E 2019-01-29T02:15:00.000Z  75  1.775 //   --- __  6.23 //  1.52 //  3.67 //  1.52 //   --- __   --- __  2.63 //  0.08 //   --- __  1.77 //  1.65 //   --- __   --- __   --- __  257.5 //  257.5 //    --- __  100.0 //    --- __    --- __    --- __    --- __  253.4 //    --- __  234.5 //   26.7 //    --- __   14.5 //  26.7 //    --- __    --- __   0.3 // 3.51 // 2.27 //  --- __  --- __
